YEAR,STATE,STATECODE,COUNTY,AREA,COUNTYCODE,NOTECODE,MARRIAGES,DIVORCES
1867,California,60,Alameda,Alameda,10,,119,5
1867,California,60,Alpine,Alpine,30,,5,1
1867,California,60,Amador,Amador,50,,56,11
1867,California,60,Butte,Butte,70,,30,5
1867,California,60,Calaveras,Calaveras,90,,58,7
1867,California,60,Colusa,Colusa,110,,,4
1867,California,60,Contra Costa,Contra Costa,130,,33,
1867,California,60,El Dorado,El Dorado,170,,66,9
1867,California,60,Fresno,Fresno,190,,12,1
1867,California,60,Humboldt,Humboldt,230,,,3
1867,California,60,Kern,Kern,290,,5,
1867,California,60,Lake,Lake,330,,,1
1867,California,60,Lassen,Lassen,350,,16,2
1867,California,60,Los Angeles,Los Angeles,370,,87,3
1867,California,60,Marin,Marin,410,,16,
1867,California,60,Mariposa,Mariposa,430,,21,3
1867,California,60,Mendocino,Mendocino,450,,33,4
1867,California,60,Merced,Merced,470,,15,
1867,California,60,Monterey,Monterey,530,,34,
1867,California,60,Napa,Napa,550,,53,3
1867,California,60,Nevada,Nevada,570,,85,10
1867,California,60,Placer,Placer,610,,42,7
1867,California,60,Plumas,Plumas,630,,23,7
1867,California,60,Sacramento,Sacramento,670,,196,10
1867,California,60,San Bernardino,San Bernardino,710,,15,2
1867,California,60,San Diego,San Diego,730,4,8,
1867,California,60,San Francisco,San Francisco,750,,1660,53
1867,California,60,San Joaquin,San Joaquin,770,,126,8
1867,California,60,San Luis Obispo,San Luis Obispo,790,,16,1
1867,California,60,San Mateo,San Mateo,810,,22,
1867,California,60,Santa Barbara,Santa Barbara,830,,22,
1867,California,60,Santa Clara,Santa Clara,850,,153,8
1867,California,60,Santa Cruz,Santa Cruz,870,,50,2
1867,California,60,Shasta,Shasta,890,,30,
1867,California,60,Sierra,Sierra,910,,22,
1867,California,60,Siskiyou,Siskiyou,930,,33,5
1867,California,60,Solano,Solano,950,,83,1
1867,California,60,Sonoma,Sonoma,970,4,129,7
1867,California,60,Stanislaus,Stanislaus,990,,10,1
1867,California,60,Sutter,Sutter,1010,,23,
1867,California,60,Tehama,Tehama,1030,,,2
1867,California,60,Trinity,Trinity,1050,,14,2
1867,California,60,Tulare,Tulare,1070,,29,2
1867,California,60,Tuolumne,Tuolumne,1090,,42,5
1867,California,60,Yolo,Yolo,1130,,29,2
1867,California,60,Yuba,Yuba,1150,,67,3
1867,Colorado Territory,85,Arapahoe,Arapahoe,15,,,1
1867,Colorado Territory,85,Clear Creek,Clear Creek,75,,5,2
1867,Colorado Territory,85,Costilla,Costilla,115,,14,1
1867,Colorado Territory,85,Douglas,Douglas,135,,2,
1867,Colorado Territory,85,El Paso,El Paso,155,,3,
1867,Colorado Territory,85,Fremont,Fremont,175,,9,
1867,Colorado Territory,85,Gilpin,Gilpin,195,,34,
1867,Colorado Territory,85,Larimer,Larimer,295,,4,
1867,Colorado Territory,85,Pueblo,Pueblo,355,,3,
1867,Colorado Territory,85,Weld,Weld,415,,4,
1867,Nevada,320,Churchill,Churchill,10,,1,
1867,Nevada,320,Douglas,Douglas,50,,,3
1867,Nevada,320,Esmeralda,Esmeralda,90,,6,
1867,Nevada,320,Humboldt,Humboldt,130,,8,1
1867,Nevada,320,Lander,Lander,150,,32,5
1867,Nevada,320,Lyon,Lyon,190,,16,3
1867,Nevada,320,Nye,Nye,230,,,2
1867,Nevada,320,Ormsby,Ormsby,250,,38,5
1867,Nevada,320,Storey,Storey,290,,70,16
1867,Nevada,320,Washoe,Washoe,310,,17,2
1867,Nevada,320,White Pine,White Pine,330,3,,
1867,New Mexico Territory,355,Mora,Mora,255,,,1
1867,Oregon,410,Baker,Baker,10,,32,3
1867,Oregon,410,Clackamas,Clackamas,50,,46,4
1867,Oregon,410,Clatsop,Clatsop,70,,8,2
1867,Oregon,410,Columbia,Columbia,90,,7,
1867,Oregon,410,Coos,Coos,110,,16,
1867,Oregon,410,Curry,Curry,150,,12,2
1867,Oregon,410,Douglas,Douglas,190,,,5
1867,Oregon,410,Jackson,Jackson,290,,,2
1867,Oregon,410,Josephine,Josephine,330,,,3
1867,Oregon,410,Lane,Lane,390,,,6
1867,Oregon,410,Linn,Linn,430,,,6
1867,Oregon,410,Marion,Marion,470,,,8
1867,Oregon,410,Multnomah,Multnomah,510,,,29
1867,Oregon,410,Polk,Polk,530,,53,3
1867,Oregon,410,Tillamook,Tillamook,570,,5,
1867,Oregon,410,Wasco,Wasco,650,,,2
1867,Oregon,410,Washington,Washington,670,,25,
1867,Oregon,410,Yamhill,Yamhill,710,,38,6
1867,Texas,480,Anderson,Anderson,10,,143,1
1867,Texas,480,Angelina,Angelina,50,,14,3
1867,Texas,480,Atascosa,Atascosa,130,,45,2
1867,Texas,480,Austin,Austin,150,,200,1
1867,Texas,480,Bandera,Bandera,190,,13,
1867,Texas,480,Bastrop,Bastrop,210,,168,1
1867,Texas,480,Bee,Bee,250,,3,1
1867,Texas,480,Bell,Bell,270,,95,1
1867,Texas,480,Bexar,Bexar,290,,221,2
1867,Texas,480,Blanco,Blanco,310,3,,
1867,Texas,480,Bowie,Bowie,370,,4,
1867,Texas,480,Brazoria,Brazoria,390,,74,3
1867,Texas,480,Brazos,Brazos,410,,138,
1867,Texas,480,Brown,Brown,490,3,,
1867,Texas,480,Burleson,Burleson,510,,115,
1867,Texas,480,Burnet,Burnet,530,,32,
1867,Texas,480,Caldwell,Caldwell,550,,43,1
